City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Cayenne,GF,2021-05-30 16:51:27,4.9333,-52.3333,83.08,80,75,5.99,broken clouds
210,Tuatapere,NZ,2021-05-30 16:50:09,-46.1333,167.6833,49.82,96,100,8.32,light rain
211,Vao,NC,2021-05-30 16:51:27,-22.6667,167.4833,70.02,54,96,19.01,overcast clouds
212,Los Llanos De Aridane,ES,2021-05-30 16:51:28,28.6585,-17.9182,68.13,81,20,13.51,few clouds
213,Le Port,RE,2021-05-30 16:51:28,-20.9373,55.2919,70.61,81,3,4.85,clear sky
214,Tavricheskoye,RU,2021-05-30 16:51:29,54.5851,73.6395,76.91,29,56,17.45,broken clouds
215,Klaksvik,FO,2021-05-30 16:51:29,62.2266,-6.589,58.12,95,83,20.62,broken clouds
216,Katherine,AU,2021-05-30 16:51:30,-14.4667,132.2667,64.72,68,57,7.14,broken clouds
217,Demmin,DE,2021-05-30 16:51:30,53.9076,13.0314,62.98,67,9,8.19,clear sky
218,West Bay,KY,2021-05-30 16:51:30,19.3667,-81.4167,86.07,71,40,4.0,scattered clouds
219,Deputatskiy,RU,2021-05-30 16:51:31,69.3,139.9,45.18,64,95,4.21,overcast clouds
220,Chernyshevskiy,RU,2021-05-30 16:51:31,63.0128,112.4714,48.24,89,66,4.99,broken clouds
221,Maragogi,BR,2021-05-30 16:51:32,-9.0122,-35.2225,80.17,79,75,11.34,broken clouds
222,Sur,OM,2021-05-30 16:51:32,22.5667,59.5289,91.81,47,62,9.86,broken clouds
223,Norman Wells,CA,2021-05-30 16:51:32,65.282,-126.8329,39.24,87,75,11.5,broken clouds
224,Vulcanesti,MD,2021-05-30 16:51:33,45.6842,28.4028,65.89,55,100,1.97,overcast clouds
225,Anadyr,RU,2021-05-30 16:51:33,64.75,177.4833,36.1,80,0,4.0,clear sky
226,Baker City,US,2021-05-30 16:51:33,44.7749,-117.8344,66.13,47,1,4.61,clear sky
227,Vila Franca Do Campo,PT,2021-05-30 16:51:34,37.7167,-25.4333,68.41,66,35,8.14,scattered clouds
228,Belmonte,BR,2021-05-30 16:51:34,-15.8631,-38.8828,82.9,63,28,7.96,scattered clouds
229,Tyrma,RU,2021-05-30 16:51:34,50.0833,132.1667,42.3,94,79,3.0,broken clouds
230,Dolores,AR,2021-05-30 16:51:35,-36.3132,-57.6792,54.19,41,0,11.1,clear sky
231,Urumqi,CN,2021-05-30 16:48:12,43.801,87.6005,74.35,22,0,3.09,clear sky
232,Bengkulu,ID,2021-05-30 16:51:35,-3.8004,102.2655,76.8,87,98,5.53,moderate rain
233,Sekoma,BW,2021-05-30 16:51:36,-24.4,23.8833,58.64,25,0,5.66,clear sky
234,Lere,NG,2021-05-30 16:51:36,10.387,8.5726,95.43,15,43,9.95,scattered clouds
235,Gebre Guracha,ET,2021-05-30 16:51:36,9.8,38.4,63.97,28,4,10.83,clear sky
236,Sakhon Nakhon,TH,2021-05-30 16:51:37,17.1612,104.1472,82.47,71,21,5.35,few clouds
237,Banamba,ML,2021-05-30 16:51:37,13.55,-7.45,100.72,21,78,2.82,broken clouds
238,Montbeliard,FR,2021-05-30 16:51:37,47.5167,6.8,69.04,66,2,11.21,clear sky
239,Maracas,BR,2021-05-30 16:51:38,-13.4411,-40.4308,81.37,32,11,8.63,few clouds
240,Kroya,ID,2021-05-30 16:51:38,-7.6331,109.2461,78.19,87,46,4.74,scattered clouds
241,Takoradi,GH,2021-05-30 16:51:39,4.8845,-1.7554,83.28,73,82,11.68,broken clouds
242,Kenai,US,2021-05-30 16:47:20,60.5544,-151.2583,52.03,84,90,12.66,overcast clouds
243,Xingyi,CN,2021-05-30 16:51:39,24.1877,102.817,64.47,90,70,3.71,broken clouds
244,Khatanga,RU,2021-05-30 16:51:39,71.9667,102.5,35.46,99,100,5.95,overcast clouds
245,Carnarvon,AU,2021-05-30 16:51:40,-24.8667,113.6333,60.87,88,0,9.22,clear sky
246,Touros,BR,2021-05-30 16:51:40,-5.1989,-35.4608,88.7,67,44,14.0,scattered clouds
247,Kavaratti,IN,2021-05-30 16:51:40,10.5669,72.642,83.52,75,100,18.12,overcast clouds
248,Lasa,IT,2021-05-30 16:51:41,46.6166,10.7002,68.88,67,35,6.02,scattered clouds
249,Kangaatsiaq,GL,2021-05-30 16:51:41,68.3065,-53.4641,32.97,93,64,15.26,broken clouds
250,Sorland,NO,2021-05-30 16:51:42,67.667,12.6934,46.26,92,100,18.14,overcast clouds
251,San Ignacio,BZ,2021-05-30 16:51:42,17.1561,-89.0714,87.94,70,40,7.27,scattered clouds
252,Qingdao,CN,2021-05-30 16:49:11,36.0986,120.3719,65.8,88,40,4.5,light rain
253,Tasiilaq,GL,2021-05-30 16:51:42,65.6145,-37.6368,38.34,80,99,17.54,overcast clouds
254,Filadelfia,US,2021-05-30 16:47:17,39.9523,-75.1638,51.69,94,90,1.99,light rain
255,Vostok,RU,2021-05-30 16:51:43,46.4856,135.8833,42.17,80,96,2.91,overcast clouds
256,Coquimbo,CL,2021-05-30 16:51:43,-29.9533,-71.3436,56.93,88,40,4.23,scattered clouds
257,Hoquiam,US,2021-05-30 16:51:44,46.9809,-123.8893,64.54,50,1,0.0,clear sky
258,Khasan,RU,2021-05-30 16:51:44,42.4308,130.6434,52.23,94,100,6.13,overcast clouds
259,Half Moon Bay,US,2021-05-30 16:51:45,37.4636,-122.4286,72.05,68,1,4.12,clear sky
