City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,Aysha,55.8704,48.6319,59.45,81,100,2.21,RU,2021-05-24 22:53:45
222,Surin,14.8818,103.4936,75.58,87,100,4.45,TH,2021-05-24 22:53:45
223,Traverse City,44.7631,-85.6206,81.34,73,72,5.03,US,2021-05-24 22:53:45
224,Deer Lake,49.1667,-57.4316,40.86,48,20,11.5,CA,2021-05-24 22:53:46
225,Adre,13.4667,22.2,79.57,11,41,6.06,TD,2021-05-24 22:53:46
226,Abu Zabad,12.35,29.25,90.66,17,81,5.03,SD,2021-05-24 22:53:46
227,Ucluelet,48.9329,-125.5528,58.08,90,100,1.01,CA,2021-05-24 22:52:46
228,Taltal,-25.4,-70.4833,63.43,78,100,6.31,CL,2021-05-24 22:53:47
229,Vanavara,60.34,102.2797,47.66,89,97,3.49,RU,2021-05-24 22:53:47
230,Lucapa,-8.4192,20.7447,62.76,54,30,3.91,AO,2021-05-24 22:52:05
231,Lazaro Cardenas,17.9583,-102.2,85.46,52,0,11.79,MX,2021-05-24 22:53:48
232,Prattville,32.464,-86.4597,88.99,43,1,3.44,US,2021-05-24 22:53:48
233,Douentza,14.9951,-2.9517,96.17,25,63,5.48,ML,2021-05-24 22:53:49
234,Mariinskiy Posad,56.115,47.718,59.94,72,100,3.89,RU,2021-05-24 22:53:49
235,Buy,58.4786,41.53,45.93,90,51,5.77,RU,2021-05-24 22:53:50
236,Mount Vernon,40.9126,-73.8371,63.59,54,55,4.0,US,2021-05-24 22:53:50
237,General Delgado,-27.1667,-56.5167,59.02,78,19,3.65,PY,2021-05-24 22:53:50
238,Stromness,58.965,-3.296,46.65,84,31,6.89,GB,2021-05-24 22:53:51
239,Brae,60.3964,-1.353,44.51,92,74,8.84,GB,2021-05-24 22:53:51
240,Adrar,20.5022,-10.0711,90.75,17,45,15.14,MR,2021-05-24 22:53:52
241,Batagay-Alyta,67.8006,130.4114,43.88,45,39,1.72,RU,2021-05-24 22:53:52
242,Dengfeng,34.4553,113.0281,67.42,24,88,4.18,CN,2021-05-24 22:53:53
243,Misratah,32.3754,15.0925,73.36,62,60,4.83,LY,2021-05-24 22:53:53
244,Erenhot,43.6475,111.9767,45.07,65,100,7.47,CN,2021-05-24 22:53:53
245,Bengbu,32.9408,117.3608,69.4,51,82,3.15,CN,2021-05-24 22:53:54
246,Luklukan,14.3254,122.7124,81.0,85,61,2.73,PH,2021-05-24 22:53:54
247,Baicheng,45.6167,122.8167,57.06,24,2,13.53,CN,2021-05-24 22:53:54
248,Charters Towers,-20.1,146.2667,69.15,61,47,10.27,AU,2021-05-24 22:53:55
249,Bismil,37.8486,40.6658,65.93,71,13,3.24,TR,2021-05-24 22:53:55
250,Grand Gaube,-20.0064,57.6608,72.0,78,20,4.0,MU,2021-05-24 22:53:56
251,Ushirombo,-3.4919,31.9639,62.22,77,5,3.24,TZ,2021-05-24 22:53:56
252,Akyab,20.15,92.9,82.26,83,100,25.05,MM,2021-05-24 22:53:57
253,Urucara,-2.5364,-57.76,79.99,78,73,2.59,BR,2021-05-24 22:53:57
254,Emerald,-23.5333,148.1667,60.94,67,1,8.05,AU,2021-05-24 22:53:58
255,Lodhikheda,21.5833,78.8333,83.12,28,82,6.64,IN,2021-05-24 22:53:58
256,Quatre Cocos,-20.2078,57.7625,71.71,77,31,13.8,MU,2021-05-24 22:53:58
257,Mangan,27.5167,88.5333,72.23,62,87,6.26,IN,2021-05-24 22:53:59
258,Ejido,8.5514,-71.2375,71.65,90,85,3.58,VE,2021-05-24 22:53:59
259,Lavras,-21.2453,-44.9997,56.86,60,100,3.56,BR,2021-05-24 22:54:00
260,Jumla,29.2747,82.1838,52.38,84,7,4.23,NP,2021-05-24 22:54:00
261,Maneadero,31.7167,-116.5667,69.1,74,3,3.0,MX,2021-05-24 22:54:01
262,Dingle,10.9995,122.6711,80.94,78,72,4.23,PH,2021-05-24 22:54:01
263,Faya,18.3851,42.4509,68.11,36,41,1.54,SA,2021-05-24 22:54:02
264,Rantepao,-2.9701,119.8978,68.31,96,98,1.43,ID,2021-05-24 22:54:02
265,Codrington,-38.2667,141.9667,66.0,45,100,25.34,AU,2021-05-24 22:54:02
266,Saint-Augustin,51.226,-58.6502,47.75,43,84,8.81,CA,2021-05-24 22:54:03
267,Sayansk,54.1088,102.1648,44.6,80,71,15.77,RU,2021-05-24 22:52:59
268,Zyryanovsk,49.7386,84.2719,52.18,83,28,2.08,KZ,2021-05-24 22:54:03
269,Rapid Valley,44.0625,-103.1463,75.56,22,1,5.99,US,2021-05-24 22:54:03
270,Vila Do Maio,15.1333,-23.2167,72.39,82,34,18.1,CV,2021-05-24 22:54:04
271,Carutapera,-1.195,-46.02,78.8,84,76,7.94,BR,2021-05-24 22:53:14
272,Lovington,32.944,-103.3485,89.33,25,71,5.01,US,2021-05-24 22:54:04
273,Mangrol,21.1167,70.1167,81.95,79,59,12.73,IN,2021-05-24 22:54:05
274,Bonthe,7.5264,-12.505,81.34,85,41,6.49,SL,2021-05-24 22:54:05
275,Montepuez,-13.1256,38.9997,60.84,75,22,8.34,MZ,2021-05-24 22:54:05
